SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "svm_wine_split_60", 
    "policy": {
        "step_pipeline": 60
    }, 
    "setup": {
        "algorithm": "SVM", 
        "dataset": "wine", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "S VM on Wine with Split policy"
}
## Data Pipeline
Best score: 0.591023821809 (0.0529617199517) [P] | Score: 0.591023821809 (0.0529617199517) [P]
Best score: 0.928620571035 (0.0765243121635) [P] | Score: 0.928620571035 (0.0765243121635) [P]
Best score: 0.955847953216 (0.04837303747) [P] | Score: 0.955847953216 (0.04837303747) [P]
Best score: 0.955847953216 (0.04837303747) [P] | Score: 0.506484348125 (0.0732947086717) [P]
Best score: 0.955847953216 (0.04837303747) [P] | Score: 0.87727253182 (0.0631349703443) [P]
Best score: 0.960784313725 (0.0357391453974) [P] | Score: 0.960784313725 (0.0357391453974) [P]
Best score: 0.960784313725 (0.0357391453974) [P] | Score: 0.506559597523 (0.0485304625989) [P]
Best score: 0.960784313725 (0.0357391453974) [P] | Score: 0.917182662539 (0.0648414852162) [P]
Best score: 0.960784313725 (0.0357391453974) [P] | Score: 0.445706484348 (0.0693988605316) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.972222222222 (0.0277777777778) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.374982800138 (0.0726817022774) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.972187822497 (0.0278466834647) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.624344255246 (0.17849432731) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.719926040592 (0.0835689795195) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.416941864465 (0.0390790147336) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.364748882009 (0.0615034233631) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.967251461988 (0.0356389449946) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.872336171311 (0.0618192181446) [P]
Best score: 0.972222222222 (0.0277777777778) [P] | Score: 0.966666666667 (0.0368513865595) [P]
Best score: 0.978070175439 (0.0268703745951) [P] | Score: 0.978070175439 (0.0268703745951) [P]
Best score: 0.978070175439 (0.0268703745951) [P] | Score: 0.978070175439 (0.0268703745951) [P]
